127.0.0.1 - - [03/May/2016:11:29:32 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:40 +0800] "GET /DramakerNEWR8/js/DramakerJQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/css/Dramaker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/js/DramakerJQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/js/jquery-1.12.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:43 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:44 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:59 +0800] "POST /DramakerNEWR8/Controller HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:59 +0800] "GET /DramakerNEWR8/images/E.png HTTP/1.1" 200 12691
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:59 +0800] "GET /DramakerNEWR8/MoviePosters/Concussion.jpg HTTP/1.1" 200 9564
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:07 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:07 +0800] "GET /DramakerNEWR8/css/Dramaker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:07 +0800] "GET /DramakerNEWR8/js/jquery-1.12.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:07 +0800] "GET /DramakerNEWR8/js/DramakerJQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:07 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:08 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:21 +0800] "POST /DramakerNEWR8/Controller HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:21 +0800] "GET /DramakerNEWR8/MoviePosters/revenant.jpg HTTP/1.1" 200 15081
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:21 +0800] "GET /DramakerNEWR8/MoviePosters/Inside%20Out.jpg HTTP/1.1" 200 19213
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:21 +0800] "GET /DramakerNEWR8/MoviePosters/boyhood.jpg HTTP/1.1" 200 22198
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:21 +0800] "GET /DramakerNEWR8/images/F.png HTTP/1.1" 200 14198
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:47 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:47 +0800] "GET /DramakerNEWR8/css/Dramaker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:47 +0800] "GET /DramakerNEWR8/js/jquery-1.12.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:47 +0800] "GET /DramakerNEWR8/js/DramakerJQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:31:27 +0800] "GET /DramakerNEWR8/Dramaker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:31:27 +0800] "GET /DramakerNEWR8/css/Dramaker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:31:27 +0800] "GET /DramakerNEWR8/js/DramakerJQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:31:27 +0800] "GET /DramakerNEWR8/js/jquery-1.12.3.js HTTP/1.1" 304 -
